Year,Month,Temperature
1997,01,16
1997,01,18
1997,01,17
1997,01,17
1997,01,15
1997,01,14
1997,01,14
1997,01,11
1997,01,11
1997,01,11
1997,01,12
1997,01,12
1997,01,15
1997,01,17
1997,01,17
1997,01,17
1997,01,18
1997,01,17
1997,01,17
1997,01,16
1997,01,18
1997,01,16
1997,01,13
1997,01,10
1997,01,10
1997,01,12
1997,01,13
1997,01,14
1997,01,14
1997,01,18
1997,01,17
1997,02,17
1997,02,17
1997,02,14
1997,02,14
1997,02,15
1997,02,14
1997,02,13
1997,02,13
1997,02,14
1997,02,16
1997,02,14
1997,02,13
1997,02,13
1997,02,14
1997,02,14
1997,02,13
1997,02,13
1997,02,11
1997,02,13
1997,02,14
1997,02,13
1997,02,16
1997,02,15
1997,02,16
1997,02,19
1997,02,21
1997,02,18
1997,02,17
1997,03,17
1997,03,16
1997,03,14
1997,03,14
1997,03,17
1997,03,17
1997,03,18
1997,03,19
1997,03,19
1997,03,20
1997,03,21
1997,03,20
1997,03,21
1997,03,21
1997,03,20
1997,03,21
1997,03,18
1997,03,18
1997,03,19
1997,03,17
1997,03,18
1997,03,18
1997,03,17
1997,03,16
1997,03,16
1997,03,19
1997,03,19
1997,03,19
1997,03,19
1997,03,18
1997,03,19
1997,04,19
1997,04,21
1997,04,21
1997,04,21
1997,04,20
1997,04,21
1997,04,20
1997,04,21
1997,04,22
1997,04,20
1997,04,20
1997,04,21
1997,04,22
1997,04,22
1997,04,24
1997,04,22
1997,04,21
1997,04,22
1997,04,22
1997,04,21
1997,04,22
1997,04,23
1997,04,22
1997,04,21
1997,04,19
1997,04,20
1997,04,22
1997,04,21
1997,04,24
1997,04,25
1997,05,24
1997,05,25
1997,05,25
1997,05,22
1997,05,23
1997,05,24
1997,05,24
1997,05,23
1997,05,23
1997,05,22
1997,05,24
1997,05,26
1997,05,27
1997,05,27
1997,05,27
1997,05,28
1997,05,25
1997,05,25
1997,05,26
1997,05,26
1997,05,23
1997,05,23
1997,05,22
1997,05,21
1997,05,23
1997,05,23
1997,05,22
1997,05,23
1997,05,25
1997,05,25
1997,05,26
1997,06,25
1997,06,27
1997,06,25
1997,06,24
1997,06,28
1997,06,27
1997,06,29
1997,06,29
1997,06,29
1997,06,26
1997,06,26
1997,06,27
1997,06,25
1997,06,25
1997,06,24
1997,06,23
1997,06,23
1997,06,23
1997,06,25
1997,06,26
1997,06,26
1997,06,25
1997,06,26
1997,06,25
1997,06,26
1997,06,26
1997,06,26
1997,06,27
1997,06,26
1997,06,27
1997,07,24
1997,07,25
1997,07,24
1997,07,23
1997,07,28
1997,07,26
1997,07,26
1997,07,27
1997,07,28
1997,07,26
1997,07,26
1997,07,27
1997,07,28
1997,07,27
1997,07,26
1997,07,26
1997,07,25
1997,07,25
1997,07,26
1997,07,25
1997,07,27
1997,07,28
1997,07,26
1997,07,27
1997,07,28
1997,07,28
1997,07,28
1997,07,28
1997,07,28
1997,07,29
1997,07,29
1997,08,26
1997,08,25
1997,08,25
1997,08,28
1997,08,28
1997,08,28
1997,08,26
1997,08,25
1997,08,29
1997,08,28
1997,08,25
1997,08,26
1997,08,26
1997,08,26
1997,08,27
1997,08,27
1997,08,26
1997,08,28
1997,08,29
1997,08,29
1997,08,26
1997,08,26
1997,08,27
1997,08,25
1997,08,26
1997,08,27
1997,08,25
1997,08,28
1997,08,28
1997,08,30
1997,08,29
1997,09,28
1997,09,29
1997,09,27
1997,09,27
1997,09,26
1997,09,28
1997,09,25
1997,09,25
1997,09,25
1997,09,26
1997,09,26
1997,09,26
1997,09,27
1997,09,24
1997,09,26
1997,09,26
1997,09,25
1997,09,24
1997,09,25
1997,09,27
1997,09,20
1997,09,22
1997,09,23
1997,09,25
1997,09,25
1997,09,25
1997,09,23
1997,09,20
1997,09,20
1997,09,22
1997,10,24
1997,10,26
1997,10,25
1997,10,26
1997,10,26
1997,10,25
1997,10,26
1997,10,26
1997,10,25
1997,10,24
1997,10,26
1997,10,26
1997,10,26
1997,10,25
1997,10,25
1997,10,26
1997,10,24
1997,10,24
1997,10,26
1997,10,25
1997,10,25
1997,10,26
1997,10,26
1997,10,26
1997,10,26
1997,10,25
1997,10,21
1997,10,19
1997,10,20
1997,10,21
1997,10,20
1997,11,19
1997,11,19
1997,11,21
1997,11,22
1997,11,20
1997,11,19
1997,11,20
1997,11,21
1997,11,22
1997,11,22
1997,11,23
1997,11,24
1997,11,22
1997,11,21
1997,11,23
1997,11,20
1997,11,17
1997,11,16
1997,11,18
1997,11,21
1997,11,21
1997,11,21
1997,11,23
1997,11,22
1997,11,24
1997,11,26
1997,11,25
1997,11,24
1997,11,22
1997,11,21
1997,12,18
1997,12,15
1997,12,15
1997,12,16
1997,12,20
1997,12,22
1997,12,17
1997,12,13
1997,12,12
1997,12,13
1997,12,13
1997,12,14
1997,12,14
1997,12,15
1997,12,15
1997,12,17
1997,12,17
1997,12,19
1997,12,20
1997,12,20
1997,12,21
1997,12,17
1997,12,14
1997,12,14
1997,12,17
1997,12,19
1997,12,18
1997,12,19
1997,12,18
1997,12,17
1997,12,20
1998,01,19
1998,01,19
1998,01,20
1998,01,18
1998,01,15
1998,01,17
1998,01,18
1998,01,18
1998,01,20
1998,01,20
1998,01,20
1998,01,16
1998,01,18
1998,01,18
1998,01,13
1998,01,13
1998,01,13
1998,01,10
1998,01,10
1998,01,13
1998,01,13
1998,01,16
1998,01,12
1998,01,9
1998,01,11
1998,01,11
1998,01,15
1998,01,13
1998,01,13
1998,01,14
1998,01,15
1998,02,17
1998,02,16
1998,02,18
1998,02,10
1998,02,9
1998,02,9
1998,02,10
1998,02,10
1998,02,15
1998,02,18
1998,02,17
1998,02,18
1998,02,20
1998,02,19
1998,02,18
1998,02,17
1998,02,19
1998,02,18
1998,02,19
1998,02,22
1998,02,16
1998,02,14
1998,02,14
1998,02,14
1998,02,14
1998,02,14
1998,02,14
1998,02,14
1998,03,15
1998,03,15
1998,03,16
1998,03,17
1998,03,16
1998,03,17
1998,03,18
1998,03,19
1998,03,22
1998,03,13
1998,03,13
1998,03,13
1998,03,15
1998,03,18
1998,03,17
1998,03,17
1998,03,18
1998,03,17
1998,03,18
1998,03,20
1998,03,14
1998,03,12
1998,03,16
1998,03,17
1998,03,19
1998,03,20
1998,03,21
1998,03,21
1998,03,22
1998,03,21
1998,03,21
1998,04,22
1998,04,21
1998,04,19
1998,04,20
1998,04,21
1998,04,22
1998,04,21
1998,04,22
1998,04,23
1998,04,24
1998,04,24
1998,04,22
1998,04,23
1998,04,23
1998,04,23
1998,04,21
1998,04,21
1998,04,23
1998,04,23
1998,04,21
1998,04,23
1998,04,24
1998,04,27
1998,04,27
1998,04,25
1998,04,22
1998,04,23
1998,04,24
1998,04,24
1998,04,24
1998,05,26
1998,05,23
1998,05,23
1998,05,24
1998,05,25
1998,05,24
1998,05,26
1998,05,27
1998,05,27
1998,05,27
1998,05,27
1998,05,27
1998,05,28
1998,05,27
1998,05,24
1998,05,26
1998,05,26
1998,05,26
1998,05,26
1998,05,26
1998,05,26
1998,05,26
1998,05,27
1998,05,23
1998,05,21
1998,05,21
1998,05,25
1998,05,24
1998,05,27
1998,05,25
1998,05,25
1998,06,27
1998,06,27
1998,06,27
1998,06,25
1998,06,25
1998,06,23
1998,06,22
1998,06,23
1998,06,24
1998,06,25
1998,06,25
1998,06,29
1998,06,29
1998,06,29
1998,06,29
1998,06,29
1998,06,30
1998,06,30
1998,06,27
1998,06,29
1998,06,29
1998,06,28
1998,06,26
1998,06,28
1998,06,29
1998,06,26
1998,06,27
1998,06,26
1998,06,27
1998,06,28
1998,07,26
1998,07,26
1998,07,25
1998,07,24
1998,07,25
1998,07,25
1998,07,26
1998,07,27
1998,07,26
1998,07,26
1998,07,28
1998,07,28
1998,07,24
1998,07,27
1998,07,28
1998,07,29
1998,07,29
1998,07,29
1998,07,29
1998,07,29
1998,07,30
1998,07,29
1998,07,30
1998,07,30
1998,07,30
1998,07,29
1998,07,29
1998,07,29
1998,07,29
1998,07,29
1998,07,29
1998,08,29
1998,08,28
1998,08,30
1998,08,29
1998,08,30
1998,08,28
1998,08,26
1998,08,27
1998,08,27
1998,08,27
1998,08,26
1998,08,27
1998,08,28
1998,08,28
1998,08,28
1998,08,28
1998,08,27
1998,08,29
1998,08,28
1998,08,28
1998,08,29
1998,08,28
1998,08,28
1998,08,28
1998,08,28
1998,08,29
1998,08,26
1998,08,26
1998,08,28
1998,08,26
1998,08,25
1998,09,26
1998,09,27
1998,09,27
1998,09,27
1998,09,27
1998,09,25
1998,09,26
1998,09,27
1998,09,27
1998,09,26
1998,09,26
1998,09,26
1998,09,26
1998,09,26
1998,09,28
1998,09,28
1998,09,28
1998,09,28
1998,09,26
1998,09,25
1998,09,26
1998,09,25
1998,09,26
1998,09,27
1998,09,27
1998,09,27
1998,09,27
1998,09,26
1998,09,25
1998,09,24
1998,10,25
1998,10,26
1998,10,26
1998,10,26
1998,10,26
1998,10,26
1998,10,26
1998,10,26
1998,10,25
1998,10,25
1998,10,26
1998,10,26
1998,10,26
1998,10,26
1998,10,24
1998,10,25
1998,10,24
1998,10,21
1998,10,24
1998,10,25
1998,10,23
1998,10,23
1998,10,23
1998,10,24
1998,10,23
1998,10,22
1998,10,22
1998,10,23
1998,10,23
1998,10,24
1998,10,24
1998,11,25
1998,11,21
1998,11,21
1998,11,21
1998,11,24
1998,11,22
1998,11,20
1998,11,21
1998,11,19
1998,11,20
1998,11,21
1998,11,19
1998,11,21
1998,11,21
1998,11,24
1998,11,25
1998,11,23
1998,11,22
1998,11,20
1998,11,20
1998,11,21
1998,11,19
1998,11,19
1998,11,19
1998,11,21
1998,11,18
1998,11,20
1998,11,19
1998,11,21
1998,11,22
1998,12,23
1998,12,23
1998,12,15
1998,12,14
1998,12,15
1998,12,17
1998,12,15
1998,12,15
1998,12,14
1998,12,14
1998,12,14
1998,12,14
1998,12,16
1998,12,14
1998,12,15
1998,12,16
1998,12,15
1998,12,19
1998,12,17
1998,12,19
1998,12,20
1998,12,18
1998,12,18
1998,12,18
1998,12,16
1998,12,16
1998,12,16
1998,12,17
1998,12,18
1998,12,18
1998,12,18
1999,01,17
1999,01,15
1999,01,13
1999,01,14
1999,01,14
1999,01,13
1999,01,14
1999,01,12
1999,01,15
1999,01,14
1999,01,14
1999,01,9
1999,01,9
1999,01,10
1999,01,9
1999,01,10
1999,01,12
1999,01,12
1999,01,15
1999,01,16
1999,01,15
1999,01,17
1999,01,18
1999,01,19
1999,01,19
1999,01,18
1999,01,19
1999,01,19
1999,01,19
1999,01,18
1999,01,19
1999,02,21
1999,02,18
1999,02,14
1999,02,12
1999,02,13
1999,02,14
1999,02,15
1999,02,16
1999,02,17
1999,02,19
1999,02,17
1999,02,17
1999,02,16
1999,02,16
1999,02,17
1999,02,18
1999,02,19
1999,02,19
1999,02,14
1999,02,12
1999,02,12
1999,02,13
1999,02,17
1999,02,16
1999,02,18
1999,02,21
1999,02,19
1999,02,18
1999,03,18
1999,03,19
1999,03,19
1999,03,20
1999,03,19
1999,03,19
1999,03,22
1999,03,20
1999,03,20
1999,03,16
1999,03,13
1999,03,13
1999,03,15
1999,03,16
1999,03,16
1999,03,15
1999,03,19
1999,03,24
1999,03,26
1999,03,25
1999,03,14
1999,03,12
1999,03,14
1999,03,19
1999,03,21
1999,03,25
1999,03,23
1999,03,20
1999,03,17
1999,03,15
1999,03,18
1999,04,21
1999,04,23
1999,04,20
1999,04,20
1999,04,19
1999,04,18
1999,04,21
1999,04,21
1999,04,23
1999,04,23
1999,04,23
1999,04,23
1999,04,23
1999,04,22
1999,04,21
1999,04,24
1999,04,26
1999,04,28
1999,04,24
1999,04,24
1999,04,23
1999,04,23
1999,04,24
1999,04,27
1999,04,27
1999,04,27
1999,04,24
1999,04,23
1999,04,20
1999,04,19
1999,05,21
1999,05,23
1999,05,23
1999,05,24
1999,05,21
1999,05,18
1999,05,18
1999,05,19
1999,05,18
1999,05,19
1999,05,21
1999,05,24
1999,05,23
1999,05,24
1999,05,25
1999,05,26
1999,05,28
1999,05,25
1999,05,24
1999,05,25
1999,05,25
1999,05,26
1999,05,26
1999,05,28
1999,05,27
1999,05,25
1999,05,22
1999,05,22
1999,05,22
1999,05,25
1999,05,26
1999,06,27
1999,06,27
1999,06,26
1999,06,28
1999,06,27
1999,06,28
1999,06,26
1999,06,27
1999,06,28
1999,06,27
1999,06,28
1999,06,28
1999,06,28
1999,06,28
1999,06,28
1999,06,28
1999,06,26
1999,06,28
1999,06,27
1999,06,27
1999,06,27
1999,06,28
1999,06,25
1999,06,29
1999,06,29
1999,06,29
1999,06,28
1999,06,28
1999,06,28
1999,06,28
1999,07,28
1999,07,28
1999,07,27
1999,07,26
1999,07,26
1999,07,26
1999,07,27
1999,07,26
1999,07,26
1999,07,29
1999,07,29
1999,07,29
1999,07,28
1999,07,29
1999,07,29
1999,07,28
1999,07,28
1999,07,29
1999,07,29
1999,07,29
1999,07,29
1999,07,29
1999,07,29
1999,07,28
1999,07,29
1999,07,27
1999,07,26
1999,07,27
1999,07,28
1999,07,29
1999,07,29
1999,08,28
1999,08,27
1999,08,28
1999,08,28
1999,08,26
1999,08,26
1999,08,29
1999,08,26
1999,08,27
1999,08,26
1999,08,26
1999,08,27
1999,08,27
1999,08,27
1999,08,28
1999,08,28
1999,08,28
1999,08,27
1999,08,27
1999,08,27
1999,08,27
1999,08,25
1999,08,25
1999,08,24
1999,08,25
1999,08,26
1999,08,27
1999,08,27
1999,08,27
1999,08,28
1999,08,27
1999,09,26
1999,09,27
1999,09,27
1999,09,28
1999,09,28
1999,09,28
1999,09,28
1999,09,27
1999,09,27
1999,09,27
1999,09,27
1999,09,28
1999,09,29
1999,09,28
1999,09,28
1999,09,24
1999,09,24
1999,09,27
1999,09,27
1999,09,26
1999,09,26
1999,09,24
1999,09,23
1999,09,23
1999,09,25
1999,09,23
1999,09,25
1999,09,26
1999,09,26
1999,09,26
1999,10,27
1999,10,26
1999,10,25
1999,10,24
1999,10,24
1999,10,25
1999,10,25
1999,10,25
1999,10,26
1999,10,25
1999,10,26
1999,10,27
1999,10,27
1999,10,27
1999,10,27
1999,10,25
1999,10,22
1999,10,20
1999,10,22
1999,10,23
1999,10,25
1999,10,25
1999,10,25
1999,10,22
1999,10,24
1999,10,24
1999,10,24
1999,10,24
1999,10,24
1999,10,25
1999,10,25
1999,11,21
1999,11,18
1999,11,18
1999,11,20
1999,11,23
1999,11,24
1999,11,24
1999,11,23
1999,11,22
1999,11,23
1999,11,23
1999,11,21
1999,11,22
1999,11,22
1999,11,21
1999,11,19
1999,11,18
1999,11,16
1999,11,19
1999,11,19
1999,11,20
1999,11,22
1999,11,20
1999,11,21
1999,11,20
1999,11,21
1999,11,21
1999,11,14
1999,11,12
1999,11,14
1999,12,17
1999,12,17
1999,12,16
1999,12,16
1999,12,17
1999,12,14
1999,12,15
1999,12,14
